external_id,type,stem,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,option_i,option_j,option_image_a,option_image_b,option_image_c,option_image_d,option_image_e,option_image_f,option_image_g,option_image_h,option_image_i,option_image_j,answer,score,explanation,tags,difficulty,image_urls
legal-002,single,餐饮场所的墙壁、门窗及天花板（包括照明设施）的清洁频率至少应为___。,每月一次,每天一次,每周一次,三个月一次,,,,,,,,,,,,,,,,,A,1,《餐饮服务食品安全操作规范》附录H 推荐的餐饮服务场所、设施、设备及工具清洁方法（表格）,legal|source-row:2,,
legal-003,single,在上海市范围内，小型餐饮服务提供者从事食品经营活动，若未取得食品经营许可，但经营食品符合食品安全卫生要求、不影响周边居民正常生活的小型餐饮服务提供者，应当向所在地的乡、镇人民政府或者街道办事处办理___。,餐饮卫生许可证,小餐饮营业执照,临时备案,食品生产许可证,,,,,,,,,,,,,,,,,C,1,《上海市食品安全条例》第四十三条：小型餐饮服务提供者从事食品经营活动，应当依法取得食品经营许可。未取得食品经营许可，但经营食品符合食品安全卫生要求、不影响周边居民正常生活的小型餐饮服务提供者，应当向所在地的乡、镇人民政府或者街道办事处办理临时备案。,legal|source-row:3,,
legal-004,single,餐饮从业人员须保持良好的个人卫生。在食品处理区内工作时，可以___？,留长指甲、涂指甲油,披散头发,化妆,佩戴工作帽,,,,,,,,,,,,,,,,,D,1,《餐饮服务食品安全操作规范》14.3.1 个人卫生：从业人员不得留长指甲、涂指甲油。工作时，应穿清洁的工作服，不得披散头发。食品处理区内的从业人员不宜化妆，应戴清洁的工作帽。,legal|source-row:4,,
legal-005,single,进货查验记录和相关凭证的保存期限不得少于产品保质期满后___。没有了明确保质期的，保存期限不得少于___。其他各项记录保存期限宜为___。,3个月 6个月 6个月,3个月 1年 1年,6个月 2年 2年,6个月 2年 6个月,,,,,,,,,,,,,,,,,C,1,,legal|source-row:5,,
legal-006,single,使用灭蝇灯要注意什么？,电击式灭蝇灯不得悬挂在食品加工制作或贮存区域的上方。,不能安装在食品处理区、就餐区。,同一区域灭蝇灯的数量不能超过2盏。,优先选择电击式灭蝇灯，不宜使用粘捕式灭蝇灯。,,,,,,,,,,,,,,,,,A,1,《餐饮服务食品安全操作规范》12.2.1 灭蝇灯：食品处理区、就餐区宜安装粘捕式灭蝇灯。使用电击式灭蝇灯的，灭蝇灯不得悬挂在食品加工制作或贮存区域的上方，防止电击后的虫害碎屑污染食品。,legal|source-row:6,,
legal-007,single,有害生物（如苍蝇、老鼠）防制应遵循___优先，___有条件使用的原则，保障食品安全和人身安全。,物理防治 化学防治,化学防治 物理防治,物理防治 生物防治,生物防治 物理防治,,,,,,,,,,,,,,,,,A,1,,legal|source-row:7,,
legal-008,single,以下哪种塑料材质可以装热饮？,PE,PP,PC,PET,,,,,,,,,,,,,,,,,B,1,PP（05 聚丙烯）微波炉餐盒采用这种材质制成，耐130°C高温，唯一可以放进微波炉的塑料盒。PET不耐高温；PVC遇到高温和油脂时容易析出有害物质；PC中残留的双酚A，温度愈高释放愈多。,legal|source-row:8,,
legal-009,single,食品相关的各类工具、容器和设备，宜使用___，不宜使用___。盛放热食类食品的容器不宜使用___。,金属材料 塑料材料 木质材料,不锈钢材料 纸质材料 木质材料,塑料材料 金属材料 纸质材料,不锈钢材料 木质材料 塑料材料,,,,,,,,,,,,,,,,,D,1,《餐饮服务食品安全操作规范》7.6 食品相关产品使用：工具、容器和设备，宜使用不锈钢材料，不宜使用木质材料。盛放热食类食品的容器不宜使用塑料材料。,legal|source-row:9,,
legal-010,single,15年起，哪个部门负责管理国家食品生产管理职能，并许可和发放SC认证？,质量监督检验检疫局,食品药品监督管理局,食品药品安全委员会,工商行政管理局,,,,,,,,,,,,,,,,,B,1,,legal|source-row:10,,
legal-011,single,对违反《中华人民共和国食品安全法》规定、损害消费者合法权益的行为，哪个部门或组织会进行社会监督？,消费者协会和其他消费者组织,国务院食品安全委员会,食品药品监督管理部门,新闻媒体,,,,,,,,,,,,,,,,,A,1,,legal|source-row:11,,
