external_id,type,stem,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,option_i,option_j,option_image_a,option_image_b,option_image_c,option_image_d,option_image_e,option_image_f,option_image_g,option_image_h,option_image_i,option_image_j,answer,score,explanation,tags,difficulty,image_urls
fire-003,single,【   】都有维护消防安全，保护消防设施，预防火灾，报告火警的义务。,企事业单位,任何单位、个人,广大公民,,,,,,,,,,,,,,,,,,B,3,,fire|source-row:3,,
fire-004,single,任何单位、【   】参加有组织的灭火工作的义务。,公民,少年儿童,成年公民,,,,,,,,,,,,,,,,,,C,3,,fire|source-row:4,,
fire-005,single,安全出口的疏散门应【   】,自由开启,向外开启,向内开启,,,,,,,,,,,,,,,,,,B,3,,fire|source-row:5,,
fire-006,single,在设有车间或者仓库的建筑物内，不得设置【   】,员工集体宿舍,办公室,洗手间,,,,,,,,,,,,,,,,,,A,3,,fire|source-row:6,,
fire-007,single,从事进行电焊、气焊等具有火灾危险的作业人员，必须【   】，并严格遵守消防安全操作规程。,持证上岗,具有相应学历,掌握专业技能,,,,,,,,,,,,,,,,,,A,3,,fire|source-row:7,,
fire-008,single,公安消防队扑救火灾【   】。,只收灭火器材药剂损耗费,收取所有费用,不收任何费用,,,,,,,,,,,,,,,,,,C,3,,fire|source-row:8,,
fire-009,single,扑救爆炸物品火灾时，【   】用沙土盖压，以防造成更大伤害。,必须,禁止,可以,,,,,,,,,,,,,,,,,,B,3,,fire|source-row:9,,
fire-010,single,穿过浓烟逃生时，要【   】并用湿毛巾捂住口鼻。,尽量使身体贴近地面，快速穿过浓烟,站直身体快步穿过浓烟,趴在地面上爬行,,,,,,,,,,,,,,,,,,A,3,,fire|source-row:10,,
fire-011,single,遇火灾时【   】乘坐电梯逃生。,可以,不可以,视当时情况决定是否,,,,,,,,,,,,,,,,,,B,3,,fire|source-row:11,,
fire-012,single,液化石油气残液【   】倾倒到下水道。,不可以,可以,有时候可以,,,,,,,,,,,,,,,,,,A,3,,fire|source-row:12,,
fire-013,single,煤气瓶着火，要用【   】等捂盖灭火，并迅速关闭阀门。,湿被子、衣物,干被子、衣物,塑料布,,,,,,,,,,,,,,,,,,A,3,,fire|source-row:13,,
fire-014,single,发生火灾报警时要讲清【   】。,店铺名称、老板名字和电话,店铺名称,详细地址、起火部位、火势大小、报警人姓名和电话号码,,,,,,,,,,,,,,,,,,C,3,,fire|source-row:14,,
fire-015,single,"用灭火器灭火时,灭火器的喷射口应该对准火焰的【   】。",根部,中部,上部,,,,,,,,,,,,,,,,,,A,3,,fire|source-row:15,,
fire-016,single,公共场所发生火灾时，该公共场所的现场工作人员有【   】的义务。,组织、引导在场群众疏散,组织、引导在场群众灭火,组织、引导在场群众逃生,,,,,,,,,,,,,,,,,,A,3,,fire|source-row:16,,
fire-017,single,电器或者线路着火，首先要【   】，不可以用水来灭火。,切断电源,报告部门领导,逃跑,,,,,,,,,,,,,,,,,,A,3,,fire|source-row:17,,
