external_id,type,stem,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,option_i,option_j,option_image_a,option_image_b,option_image_c,option_image_d,option_image_e,option_image_f,option_image_g,option_image_h,option_image_i,option_image_j,answer,score,explanation,tags,difficulty,image_urls
it-003,single,打烊时交接完成后，发现无法关账，首先需要做的是？,将【订单中心】-【销货单】-【已结账】列表中的订单作废,将【订单中心】-【销货单】-【未结账】列表中的订单作废,将【订单中心】-【待处理】-【支付中】列表中的订单作废,将【订单中心】-【销货单】-【未结账】列表中的订单反结账,,,,,,,,,,,,,,,,,B,2,,it|source-row:3,,
it-004,single,当门店的客如云一体机因为故障无法使用时，应该用什么替代收银？,暂时只收现金,暂时用咖啡师的个人支付宝/微信收款,口碑app,掌上客如云app,,,,,,,,,,,,,,,,,D,2,,it|source-row:4,,
it-005,single,客如云上的【闪收】按钮是做什么用的？,支付宝扫码用,“一码”收款用,现金结账同时计算找零金额用,使用现金结账且不需找零的时候用,,,,,,,,,,,,,,,,,D,2,,it|source-row:5,,
it-006,single,客如云可以正常下单付款，但无法自动打印单据，提示“打印机连接错误”时，通常是什么问题？,打印机没有接电源,客如云没有接入网络,打印机ip与客如云本机ip不同,打印机的出纸键卡住了,打印机的打印纸没有装好,,,,,,,,,,,,,,,,C,2,,it|source-row:6,,
it-007,single,当不确定某件事情该如何处理的时候，应以什么规则为准？,老咖啡师说的处理方法,知识库中的文档规定,自己当下的思考与判断,老板说的处理方法,,,,,,,,,,,,,,,,,B,2,"一切以已经落实的规则为准，没有人可以凌驾在规则之上。目前我们已有的规则都发布在知识库文档上。
P.S. 当找不到对应规则时，可以根据当下情况作出合理的判断与处理，同时提出张力，提醒相关角色去补充相应的规则。",it|source-row:7,,
it-008,single,以下哪类资料是可以与公司外的朋友/顾客分享的？,知识库上的文档、视频或内容截图,钉盘上的企业文件或内容截图,公众号中发布过的内容,内部服务器上的视频和文档,门店的T12 WIFI名称和密码,,,,,,,,,,,,,,,,C,2,,it|source-row:8,,
it-009,single,当班过程中发现客如云触控屏幕失灵，尝试重启后依旧无效，应怎么处理？,第一时间打电话给老板。,第一时间通知“软件工程师”来处理。,第一时间通知“硬件工程师”来修理。,第一时间拨打客服电话400-8866-815，描述问题并要求解决。,,,,,,,,,,,,,,,,,D,2,屏幕失灵的问题属于客如云的设备问题，只有客如云方面的技术客服可以解决，最高效的办法是门店直接与客服联系。,it|source-row:9,,
it-010,single,在哪里可以查找到每个合弄制角色当前的“扮演者”？,钉钉通讯录,钉钉的个人名片,知识库->人事制度,知识库->组织文化与合弄制->圈子与角色,,,,,,,,,,,,,,,,,D,2,,it|source-row:10,,
it-011,single,目前TABLE12富都广场店使用的外卖平台为______，常樂使用的外卖平台为______。,1) 美团  2) 饿了么,1) 饿了么  2) 美团,1) 饿了么  2) 美团和饿了么,1) 美团和饿了么  2) 美团和饿了么,1) 美团和饿了么  2) 饿了么,,,,,,,,,,,,,,,,D,2,两家门店都有开通两个外卖平台。,it|source-row:11,,
it-012,single,如果门店某款豆子或产品售罄，应如何处理美团/饿了么外卖上的对应商品？,登陆美团、饿了么商户端app，将对应产品下架,登陆美团、饿了么商户端app，将对应产品沽清,在客如云收银机上长按对应产品将其沽清，并检查外卖平台上的在售产品是否正确。,登陆美团、饿了么商户端app，将对应产品删除。,通知“门店运营支持”将对应产品沽清。,,,,,,,,,,,,,,,,C,2,,it|source-row:12,,
it-013,multi,在T12GROUP的官方淘宝店上可以买到什么？,T12GROUP 帆布包等周边产品,新鲜烘焙的200g预包装咖啡豆,《东京咖啡时间》书籍,100g小包装的咖啡豆、咖啡粉,挂耳包、袋泡咖啡等咖啡产品,1kg的预包装咖啡豆,,,,,,,,,,,,,,,A|B|E|F,3,目前淘宝/官网只支持200g包装的咖啡豆，没有更小的包装出售。t12group淘宝店不具备书籍售卖资质。,it|source-row:13,,
it-014,multi,你在门店里拍了一段视频，想分享给大家。如果不希望视频被压缩或者丢失的话，可以上传到哪里？,钉钉的群聊中,钉钉云盘,公众号后台,微信群聊,,,,,,,,,,,,,,,,,A|B,3,"A. 钉钉群聊中发送的视频会自动保存到【云盘】下的【群文件】目录的，文件会长期保存。
B. 就不用说了
C. 不行 
D. 微信中发送的视频都是会被压缩的，而且过期了就会被清理掉，不建议在微信发重要的视频。",it|source-row:14,,
it-015,multi,客人可以在哪里买到T12的咖啡豆？,门店,微店,T12官方网站,T12GROUP公众号,淘宝,有赞,,,,,,,,,,,,,,,A|C|D|E,3,"D&C：公众号上的链接就是官网，两个选项等价
B: T12没有微店 也没有有赞
目前来说，咖啡豆还是从门店发货的，门店通常会被备有零售咖啡豆库存。",it|source-row:15,,
