external_id,type,stem,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,option_i,option_j,option_image_a,option_image_b,option_image_c,option_image_d,option_image_e,option_image_f,option_image_g,option_image_h,option_image_i,option_image_j,answer,score,explanation,tags,difficulty,image_urls
cupping-002,qa,在杯测会上，多人围着杯测桌轮流品鉴的过程中，如果要做记录应该如何做？,,,,,,,,,,,,,,,,,,,,,如果要做记录，请离开队列，不要阻碍其他人。,1,如果要做记录，请离开队列，不要阻碍其他人。,cupping|source-row:2|manual-grading,,
cupping-003,fill,“瑕疵风味”一栏同时记录某种瑕疵风味的[]和杯测桌上存在该种瑕疵风味的[],,,,,,,,,,,,,,,,,,,,,强度、杯数|严重程度、杯数,1,,cupping|source-row:3|needs-review:multi-blank,,
cupping-004,qa,如何确认杯测研磨刻度？,,,,,,,,,,,,,,,,,,,,,使用美标20目（直径0.9毫米），过筛率70～75%。,1,使用美标20目（直径0.9毫米），过筛率70～75%。,cupping|source-row:4|manual-grading,,
cupping-005,qa,图为“瑕疵风味”的标记示例，请问其中数字2、3分别代表什么意思？,,,,,,,,,,,,,,,,,,,,,"“2”代表有两杯出现瑕疵风味。
“3”代表瑕疵的强烈程度为“严重“",1,"“2”代表有两杯出现瑕疵风味。
“3”代表瑕疵的强烈程度为“严重“",cupping|source-row:5|manual-grading,,
cupping-006,fill,口感就是咖啡液在口腔中呈现的[]。,,,,,,,,,,,,,,,,,,,,,触感|触觉,1,,cupping|source-row:6,,
cupping-007,judge,“香气”将计入总分。,正确,错误,,,,,,,,,,,,,,,,,,,B,1,,cupping|source-row:7,,
cupping-008,judge,杯测注水应该小心，用细水流浇注。,正确,错误,,,,,,,,,,,,,,,,,,,B,1,,cupping|source-row:8,,
cupping-009,qa,为什么八项标准的打分中位数为6分？,,,,,,,,,,,,,,,,,,,,,COE竞赛本身主要考虑的是评选品质从“fine（不错）”到“great（极好）”的豆子，能过海选的咖啡本身就属于精品级，因此代表“fine”的6分位于每个评分表的中间值，给予品质在6分之上的咖啡有更多的区分度。,1,COE竞赛本身主要考虑的是评选品质从“fine（不错）”到“great（极好）”的豆子，能过海选的咖啡本身就属于精品级，因此代表“fine”的6分位于每个评分表的中间值，给予品质在6分之上的咖啡有更多的区分度。,cupping|source-row:9|manual-grading,,
cupping-010,qa,“干香”一栏中这样的标记代表什么？,,,,,,,,,,,,,,,,,,,,,干香很愉悦、气味非常强烈,1,干香很愉悦、气味非常强烈,cupping|source-row:10|manual-grading,,
cupping-011,fill,杯测使用[]克咖啡粉，注入[]毫升热水。,,,,,,,,,,,,,,,,,,,,,12、200,1,,cupping|source-row:11|needs-review:multi-blank,,
