external_id,type,stem,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,option_i,option_j,option_image_a,option_image_b,option_image_c,option_image_d,option_image_e,option_image_f,option_image_g,option_image_h,option_image_i,option_image_j,answer,score,explanation,tags,difficulty,image_urls
extraction-002,qa,在浓缩咖啡的萃取中，随着研磨度不断调细，萃取率会不断升高吗？为什么？,,,,,,,,,,,,,,,,,,,,,,2.5,"1. 不会，萃取率有一个最高值，不会超过总可溶物含量。
2.研磨度细到一定程度， 就会阻碍水的通过，在咖啡粉层中形成“微通道”，使得咖啡萃取不均匀，萃取率急剧下降。",extraction|source-row:2|manual-grading|question-no:1,,
extraction-003,multi,下列哪些方式可以提升萃取均匀度？,增加填压力度,保证填压完全平整,使用水流分布更均匀的分水网和粉碗,不使用各种有明显不同溶解率的拼配,使用不怎么产生结块的磨豆机,增加磕粉次数,填压前均匀布粉，像刚修整完的草坪一样平,使用平底粉锤,,,,,,,,,,,,,B|C|D|E|G,3,,extraction|source-row:3|question-no:2,,
extraction-004,multi,在保持其他参数不变的前提下，下列哪些方法可以提升一杯咖啡的萃取率？,调细研磨度,提高水温,增加液重,提升萃取均匀度,提高萃取压力,降低萃取压力,,,,,,,,,,,,,,,A|B|C|D,3,提升压力不一定提升萃取率。,extraction|source-row:4|question-no:3,,
extraction-005,judge,在BH的框架中，要调整浓缩咖啡的风味走向时，可以用改变粉重的方法。,正确,错误,,,,,,,,,,,,,,,,,,,B,2,不要通过改变粉重去调整风味！！！,extraction|source-row:5|question-no:4,,
extraction-006,multi,浓缩咖啡尝起来又酸又涩，可以________,调细研磨度,调粗研磨度,减少液重,增加液重,增加粉重,,,,,,,,,,,,,,,,A|D,3,,extraction|source-row:6|question-no:5,,
extraction-007,single,咖啡豆中的各类可溶物中，按照溶解率排序，由快到慢分别是：,酸和有机盐 > 糖类 > 大分子,酸和有机盐 > 大分子  > 糖类,糖类  >  大分子  >  酸和有机盐,糖类  >   酸和有机盐 >   大分子,,,,,,,,,,,,,,,,,A,2,,extraction|source-row:7|question-no:6,,
extraction-008,qa,在调试浓缩萃取方案时，是否可以通过调整填压力度来改变萃取时间？为什么？,,,,,,,,,,,,,,,,,,,,,,2.5,"不可以。
真正能改变萃取率的是研磨度，即研磨颗粒大小。填压是把粉和粉之间的空气挤掉而已，并不能改变研磨颗粒大小，咖啡粉是固体颗粒，有最大密度，当粉锤停止移动时，即是最大密度。再大的力气只会伤及关节，长期则发展为劳损。",extraction|source-row:8|manual-grading|question-no:7,,
extraction-009,fill,你用16g咖啡粉制作了一杯手冲咖啡，咖啡液总重为240g，冲煮完成后，你测量了一下这杯咖啡的浓度为1.2%，那么可以得知，它的萃取率为[]。,,,,,,,,,,,,,,,,,,,,,18%|18,2,,extraction|source-row:9|question-no:8,,
extraction-010,qa,萃取不均匀的咖啡，其感官表现是怎样的？为什么会有这样的感官表现？,,,,,,,,,,,,,,,,,,,,,,2.5,"感官表现：又酸又苦、口感单薄、风味不清晰。
原因：咖啡粉部分萃取不足，部分萃取过度。",extraction|source-row:10|manual-grading|question-no:9,,
extraction-011,multi,调整下列哪个变量，可以同时提高/降低萃取率和浓度？,萃取均匀度,水温,液重,粉重,研磨度,萃取时间,萃取压力,,,,,,,,,,,,,,A|B|E,3,,extraction|source-row:11|question-no:10,,
extraction-012,multi,下列哪些萃取方式属于加压式萃取？,爱乐压,法压壶,虹吸壶,摩卡壶,意式咖啡机,,,,,,,,,,,,,,,,A|C|D|E,3,"法压壶：浸泡式萃取
虹吸壶：在最后下水的阶段，下壶中会产生负压，将咖啡液吸入下壶。",extraction|source-row:12|question-no:11,,
extraction-013,judge,同样的咖啡豆，研磨度越细，咖啡粉总表面积越大，水通过时的萃取效率越高。,正确,错误,,,,,,,,,,,,,,,,,,,A,2,研磨越细，萃取时咖啡粉与水的接触面积越大，萃取效率越高。,extraction|source-row:13|question-no:12,,
extraction-014,multi,在BH的浓缩调试框架中，浓缩咖啡的萃取方案主要由哪几个参数构成？,萃取时间,液重,水温,压力,研磨度,粉重,,,,,,,,,,,,,,,A|B|F,3,,extraction|source-row:14|question-no:13,,
extraction-015,multi,在保持其他参数不变的前提下，下列哪些方法可以提升浓缩咖啡的浓度？,调细研磨度,提高水温,减少水量,增加液重,增加粉量,降低压力,增加萃取均匀度,,,,,,,,,,,,,,A|B|C|E|G,3,,extraction|source-row:15|question-no:14,,
extraction-016,single,在调试浓缩咖啡的萃取方案时，一杯浓缩的感官表现可以作为调试参考的前提条件是什么？,流速落在正常范围,液重和原有参数一样,粉重原有参数一样,萃取时间和原有参数一样,萃取过程均匀,,,,,,,,,,,,,,,,E,2,,extraction|source-row:16|question-no:15,,
extraction-017,judge,在浓缩咖啡的萃取中，液重越多，萃取率和浓度越高。,正确,错误,,,,,,,,,,,,,,,,,,,B,2,,extraction|source-row:17|question-no:16,,
extraction-018,single,在一杯咖啡的萃取全过程中，如果用横轴代表萃取时间，纵轴代表这杯咖啡的浓度，以下哪张图表是符合浓度的变化规律的？,,,,,,,,,,,resource:extraction-17-a,resource:extraction-17-b,resource:extraction-17-c,resource:extraction-17-d,,,,,,,C,2,,extraction|source-row:18|question-no:17,,
extraction-019,single,在一杯咖啡的萃取全过程中，如果用横轴代表萃取时间，纵轴代表萃取率，以下哪张图表是符合萃取率的变化规律的？,,,,,,,,,,,resource:extraction-18-a,resource:extraction-18-b,resource:extraction-18-c,resource:extraction-18-d,resource:extraction-18-e,,,,,,D,2,,extraction|source-row:19|question-no:18,,
extraction-020,qa,在制定浓缩咖啡的萃取方案时，为什么说液重的本质是折衷？,,,,,,,,,,,,,,,,,,,,,,2.5,"确定液重，就是选择一个平衡萃取率和浓度的折衷方案
–液重越大，萃取率越高，浓度越低。
–液重越小，萃取率越低，浓度越高",extraction|source-row:20|manual-grading|question-no:19,,
extraction-021,judge,在制定浓缩咖啡的萃取方案时，保持粉重的一致性非常重要，能够让你更加容易调整变量和理解咖啡。,正确,错误,,,,,,,,,,,,,,,,,,,A,2,,extraction|source-row:21|question-no:20,,
extraction-022,judge,制定浓缩咖啡萃取方案时，粉量越大，风味物质越多，因此粉量越大越好。,正确,错误,,,,,,,,,,,,,,,,,,,B,2,"1. 粉饼厚度不能碰到分水网。
2. 过大的粉量只会带来效率更低、更不均匀的萃取。",extraction|source-row:22|question-no:21,,
extraction-023,fill,确定浓缩咖啡的粉量时，建议使用与粉碗标定值相差不超过[]克的粉重。,,,,,,,,,,,,,,,,,,,,,2|二|两,2,,extraction|source-row:23|question-no:22,,
extraction-024,qa,影响一杯咖啡好坏的三个最重要的因素是什么？,,,,,,,,,,,,,,,,,,,,,,2.5,"1. 生豆基本品质（无瑕疵、杯测82分以上、正常的含水率和
水活性）
2.烘焙（发展良好、均匀、最低程度的干馏物）
3.水（干净、与烘焙风格/烘焙度相匹配的矿物质含量和碱度）",extraction|source-row:24|manual-grading|question-no:23,,
extraction-025,qa,萃取理想的咖啡，在感官上会有什么表现？,,,,,,,,,,,,,,,,,,,,,,2.5,"■甜和成熟感 Sweet and Ripe
■干净度和透明度 Clarity and Transparency
■好的酸质 Acidity
■余韵悠长 Finish for Days",extraction|source-row:25|manual-grading|question-no:24,,
extraction-026,judge,高品质的咖啡豆在萃取过度时不会出现苦涩等负面味道和口感。,正确,错误,,,,,,,,,,,,,,,,,,,B,2,无论什么品质的咖啡豆，萃取过度带来的负面味道是普适的。,extraction|source-row:26|question-no:25,,
extraction-027,multi,萃取不足的表现有哪些？,不愉悦的酸,苦,咸,甜感不足,空洞,余韵短促,干涩,,,,,,,,,,,,,,A|C|D|F,3,,extraction|source-row:27|question-no:26,,
extraction-028,multi,萃取过度的表现有哪些？,不愉悦的酸,苦,咸,甜感不足,空洞和乏味,余韵短促,干涩,,,,,,,,,,,,,,B|E|G,3,,extraction|source-row:28|question-no:27,,
extraction-029,multi,影响Espresso萃取时间的主要因素有哪些？,水泵压力,冲煮头出水量,研磨度,粉碗,,,,,,,,,,,,,,,,,A|B|C|D,3,,extraction|source-row:29|question-no:28,,
extraction-030,qa,请简述：什么是萃取率？,,,,,,,,,,,,,,,,,,,,,,2.5,,extraction|source-row:30|manual-grading|question-no:29,,
extraction-031,judge,确定萃取参数后，日常运营可以通过改变填压力度改变萃取时间，调整咖啡风味。,正确,错误,,,,,,,,,,,,,,,,,,,B,2,真正能改变萃取率的是研磨度，即研磨颗粒大小。填压是把粉和粉之间的空气挤掉而已，并不能改变研磨颗粒大小，咖啡粉是固体颗粒，有最大密度，当粉锤停止移动时，即是最大密度。再大的力气只会伤及关节，长期则发展为劳损。,extraction|source-row:31|question-no:30,,
extraction-032,judge,通常来说，萃取率和浓度落在金杯理论区间的咖啡就是好喝的咖啡。,正确,错误,,,,,,,,,,,,,,,,,,,B,2,"金杯理论是感官经验的总结，而非科学理论，仅供参考。
进入金杯区间不代表萃取合适，更不代表一定好喝，应以感官为准。",extraction|source-row:32|question-no:31,,
