external_id,type,stem,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,option_i,option_j,option_image_a,option_image_b,option_image_c,option_image_d,option_image_e,option_image_f,option_image_g,option_image_h,option_image_i,option_image_j,answer,score,explanation,tags,difficulty,image_urls
coffee-001,single,哪一个国家是全球最先进也是最依赖工业化咖啡生产的国家？,巴西,危地马拉,中国,玻利维亚,,,,,,,,,,,,,,,,,A,1,,coffee|source-row:2|咖啡产地,,
coffee-002,single,Lab 使用的 La Marzocco GB5 是什么类型的咖啡机？,加热块式咖啡机,热交换式咖啡机,双锅炉式咖啡机,独立锅炉式咖啡机,,,,,,,,,,,,,,,,,C,1,,coffee|source-row:3|咖啡设备,,
coffee-003,single,___ 是1937年发现于巴西的波旁突变种。,卡图艾,卡杜拉,MARS,蒙多诺沃,,,,,,,,,,,,,,,,,D,1,,coffee|source-row:4|咖啡品种,,
coffee-004,single,被认为是所有阿拉比卡变种或基因筛选的原型的品种是___。,罗布斯塔,卡杜拉,铁比卡,RS,,,,,,,,,,,,,,,,,C,1,,coffee|source-row:5|咖啡品种,,
coffee-005,single,从咖啡生产者种下咖啡开始算起，至少需要___年的等待，才能开始有适量的咖啡果实可以采收。,2,3,4,5,,,,,,,,,,,,,,,,,A,1,,coffee|source-row:6|咖啡种植,,
coffee-006,single,至2016年已经鉴别出来的咖啡树种有___个。,119,129,125,131,,,,,,,,,,,,,,,,,B,1,,coffee|source-row:7|咖啡品种,,
coffee-007,single,印度比较出名的处理法是什么？,湿刨法,季风处理法,日晒处理法,厌氧处理法,,,,,,,,,,,,,,,,,B,1,,coffee|source-row:8|咖啡处理法,,
coffee-008,single,肯尼亚咖啡生豆分级中 PB 代表的是什么？,颗粒大小大于18目的咖啡豆,颗粒大小15-16目的咖啡豆,象豆,圆豆,,,,,,,,,,,,,,,,,D,1,,coffee|source-row:9|咖啡分级,,
coffee-009,single,Yirgacheffe（耶加雪菲）是哪个国家的产区？,埃塞俄比亚,哥伦比亚,肯尼亚,危地马拉,,,,,,,,,,,,,,,,,A,1,,coffee|source-row:10|咖啡产地,,
coffee-010,single,Gibraltar（直布罗陀）是由哪家咖啡馆创造的？,Peet's Coffee,Blue Bottle,Stumptown,Intelligentsia,,,,,,,,,,,,,,,,,B,1,,coffee|source-row:11|咖啡饮品,,
coffee-011,single,Gibraltar（直布罗陀）的总容量是多少毫升？,135,150,100,115,,,,,,,,,,,,,,,,,A,1,,coffee|source-row:12|咖啡饮品,,
coffee-012,single,科达多咖啡（Cortado）的发源地是___。,意大利,西班牙,美国,法国,,,,,,,,,,,,,,,,,B,1,,coffee|source-row:13|咖啡饮品,,
coffee-013,single,现在常见的 Cappuccino 的做法中，浓缩、牛奶和奶沫的比例是多少？,1:1:1,1:1:2,1:2:1,2:1:1,,,,,,,,,,,,,,,,,C,1,,coffee|source-row:14|咖啡饮品,,
coffee-014,single,一杯传统 Cappuccino（卡布奇诺）的总容量大约为___毫升。,130-150,150-175,175-190,190-210,,,,,,,,,,,,,,,,,B,1,,coffee|source-row:15|咖啡饮品,,
coffee-015,single,Espresso 一般粉液比是多少？,1:2,1:1,1:3,1:1.5,,,,,,,,,,,,,,,,,A,1,,coffee|source-row:16|咖啡萃取,,
coffee-016,single,牛奶温度超过___°C，风味及质感就无法逆的衰退。,60,62,68,70,,,,,,,,,,,,,,,,,C,1,,coffee|source-row:17|咖啡制作,,
coffee-017,single,一般商用意式咖啡机的萃取压力是多少？,9bar（大约）,9bar,10bar,10bar（大约）,,,,,,,,,,,,,,,,,B,1,,coffee|source-row:18|咖啡设备,,
coffee-018,single,SCAA建议的咖啡冲煮水质中，TDS的可接受范围是多少？,75~250mg/L,50~230mg/L,80~200mg/L,100~170mg/L,,,,,,,,,,,,,,,,,A,1,,coffee|source-row:19|咖啡水质,,
coffee-019,single,SCAA建议的咖啡冲煮水质中，TDS目标值是多少？,150mg/L,180mg/L,130mg/L,160mg/L,,,,,,,,,,,,,,,,,A,1,,coffee|source-row:20|咖啡水质,,
coffee-020,single,能磨出较均匀的颗粒大小的磨豆机类型是：,旋转浆式刀片磨豆机,磨盘磨豆机,锤击式磨豆机,切割式磨豆机,,,,,,,,,,,,,,,,,B,1,,coffee|source-row:21|咖啡设备,,
coffee-021,single,通过烘焙，咖啡可以产生超过___种不同的易挥发芳香化合物，这就是咖啡风味的来源。,600,700,800,900,,,,,,,,,,,,,,,,,C,1,,coffee|source-row:22|咖啡烘焙,,
coffee-022,single,日晒处理法通常都会为咖啡增加___。,水果风味,花香,坚果风味,鲜味,,,,,,,,,,,,,,,,,A,1,,coffee|source-row:23|咖啡处理法,,
coffee-023,single,咖啡生豆的理想含水率是多少？,18%~20%,11%~12%,13%~14%,15%~16%,,,,,,,,,,,,,,,,,B,1,,coffee|source-row:24|咖啡生豆,,
coffee-024,single,水选浮力槽筛选果实时，___的咖啡果会沉入水底。,成熟,未成熟,,,,,,,,,,,,,,,,,,,A,1,,coffee|source-row:25|咖啡处理法,,
coffee-025,single,为了制作高质量的咖啡，___采收法仍然是目前最有效率的采收方式。,机械,速剥,手摘,条摘,,,,,,,,,,,,,,,,,C,1,,coffee|source-row:26|咖啡采收,,
coffee-026,single,也门属于哪个洲？,亚洲,非洲,美洲,大洋洲,,,,,,,,,,,,,,,,,A,1,,coffee|source-row:27|咖啡产地,,
coffee-027,single,Kopi Luwak（猫屎咖啡）产自哪个国家？,印度,印度尼西亚,巴布亚新几内亚,云南,,,,,,,,,,,,,,,,,B,1,,coffee|source-row:28|咖啡产地,,
coffee-028,single,印度尼西亚比较出名的处理法是什么？,湿刨法,季风处理法,日晒处理法,厌氧处理法,,,,,,,,,,,,,,,,,A,1,,coffee|source-row:29|咖啡处理法,,
coffee-029,single,下面哪个阶段被视为影响咖啡质量的关键阶段，此后的各个阶段仅能保存质量，无法改善质量。,种植,生豆精制处理,采收,烘焙,,,,,,,,,,,,,,,,,C,1,,coffee|source-row:30|咖啡生产,,
coffee-030,single,"被称为""象豆""的咖啡品种是什么？",帕卡马拉,帕卡斯,肯特,马拉戈日皮,,,,,,,,,,,,,,,,,A,1,,coffee|source-row:31|咖啡品种,,
coffee-031,single,对于速溶咖啡产业而言，哪一个因素更重要。,品种,成本,风味,产地,,,,,,,,,,,,,,,,,B,1,,coffee|source-row:32|咖啡产业,,
coffee-032,single,Blue Mountains（蓝山）是哪个国家的产区？,美国,墨西哥,牙买加,洪都拉斯,,,,,,,,,,,,,,,,,C,1,,coffee|source-row:33|咖啡产地,,
coffee-033,single,Kona（可娜）是哪个国家的产区？,危地马拉,美国,哥伦比亚,澳大利亚,,,,,,,,,,,,,,,,,B,1,,coffee|source-row:34|咖啡产地,,
coffee-034,multi,《世界咖啡地图》中作者建议的新鲜咖啡的黄金法则有几条？,选购包装上有标示烘焙日期的咖啡豆。,试着购买烘焙后两周内的咖啡豆。,一次只买两周内能喝完的量。,只买未研磨的原豆回家自己磨。,一次只买三周内能喝完的量。,试着购买烘焙后一个月内的咖啡豆。,,,,,,,,,,,,,,,A|B|C|D,1,,coffee|source-row:35|咖啡储存,,
coffee-035,multi,中国有哪些地方出产咖啡？,云南,海南,广西,湖南,,,,,,,,,,,,,,,,,A|B|C,1,,coffee|source-row:36|咖啡产地,,
